3 5 7 8 9 10 15 18 19 19 22 22 24 29 27 27 28 36 39 40 
2 2 3 3 4 4 9 15 19 23 27 28 32 32 34 36 36 39 39 40 
2 4 7 8 7 7 10 17 20 24 27 28 27 31 32 34 33 35 38 40 
4 6 6 6 5 7 8 9 13 14 14 18 23 26 28 26 28 37 39 40 
1 2 3 1 2 5 10 9 13 18 19 24 26 26 29 32 37 37 38 40 
3 4 6 5 13 16 18 16 17 23 24 28 30 29 30 33 33 37 37 40 
1 3 6 7 9 13 16 20 23 22 17 19 22 31 36 34 35 35 36 40 
2 4 5 4 8 9 13 15 13 16 16 20 17 18 18 20 30 33 37 40 
4 2 5 7 11 12 17 19 23 24 29 30 29 27 33 32 32 38 39 40 
3 3 3 3 3 3 6 11 12 12 15 20 26 24 30 35 38 38 38 40 
2 2 3 5 4 7 13 14 15 22 29 29 31 30 31 35 36 34 37 40 
4 7 7 10 20 21 23 30 33 34 36 38 38 39 37 36 36 37 37 40 
1 3 5 8 14 17 19 26 30 32 33 33 33 34 35 34 37 39 39 40 
2 1 1 4 5 5 5 5 7 11 16 17 13 15 23 26 29 31 36 40 
1 4 6 10 11 13 18 21 23 22 23 21 19 27 28 27 33 36 38 40 
1 1 1 2 2 3 3 5 8 15 21 22 26 29 33 36 37 36 39 40 
1 2 1 1 2 2 5 4 7 8 9 10 9 13 18 19 23 33 36 40 
5 7 9 11 13 20 29 32 33 32 34 36 38 39 39 38 39 39 38 40 
3 5 8 11 9 13 14 17 19 25 27 25 24 28 28 31 33 36 36 40 
2 4 6 9 13 13 15 16 22 21 27 30 30 34 37 37 39 39 39 40 
3 3 6 13 19 27 25 29 27 34 34 33 37 37 38 39 38 38 39 40 
2 2 5 10 12 12 16 16 17 25 22 26 28 32 34 33 34 38 39 40 
4 7 11 17 16 19 20 26 25 25 25 28 34 34 35 35 37 39 39 40 
1 2 4 4 7 8 11 10 13 16 21 26 26 25 26 29 32 32 38 40 
1 2 3 4 6 8 10 10 12 11 10 13 15 20 22 27 32 35 39 40 
4 7 12 11 10 14 15 17 14 14 20 20 27 26 26 30 32 34 38 40 
