3 6 8 11 10 12 5 7 6 3 4 8 13 14 15 17 14 18 15 21 18 17 13 14 14 16 11 11 18 22 22 24 20 15 14 12 12 14 10 9 7 7 6 12 11 19 20 18 17 17 12 11 14 9 11 11 7 7 10 16 16 21 26 26 31 29 29 30 34 32 33 35 34 32 34 36 37 37 38 40 
1 1 3 5 5 9 6 8 10 16 17 18 21 26 21 21 24 24 25 20 24 20 19 18 18 19 24 23 27 31 32 33 34 35 34 37 36 37 36 37 33 31 31 30 29 27 26 29 27 22 27 27 26 21 22 28 31 27 25 27 25 25 27 24 23 32 32 35 32 30 33 32 32 30 26 26 26 29 37 40 
2 1 3 2 3 2 3 7 9 11 9 13 13 16 19 20 21 18 21 21 21 28 27 29 27 25 20 14 15 15 11 19 22 19 15 20 22 25 25 20 23 20 24 23 30 28 30 34 30 32 33 30 27 23 26 33 34 34 33 33 33 30 32 35 33 33 33 32 32 34 35 35 35 32 30 30 38 39 39 40 
2 2 2 4 4 3 3 7 7 5 6 6 5 6 9 10 11 9 12 11 10 16 16 12 19 22 22 21 21 18 20 26 25 26 29 23 20 22 24 25 23 21 20 14 11 11 10 9 9 12 8 9 4 6 11 13 11 23 30 34 36 37 39 39 38 36 35 33 32 33 32 33 33 33 33 31 27 38 37 40 
2 3 3 1 2 3 4 5 7 10 10 8 7 2 2 1 1 1 1 3 4 6 6 10 13 16 17 19 17 19 20 19 15 16 20 15 16 14 15 18 16 13 17 14 16 18 16 14 20 26 23 27 28 30 29 32 34 34 33 33 32 31 31 33 34 33 35 34 34 34 33 31 32 34 30 32 34 36 38 40 
2 3 4 6 4 7 10 12 11 6 6 9 6 10 11 9 11 11 13 9 11 12 13 13 16 25 22 24 25 29 33 35 33 30 34 31 30 25 23 24 23 31 27 26 22 23 25 24 25 24 23 25 26 25 23 19 16 14 17 15 17 15 17 18 25 23 20 22 22 21 28 33 32 33 33 35 34 34 38 40 
1 2 3 5 8 5 11 15 14 21 22 23 27 23 23 21 22 21 26 23 17 18 17 16 21 24 22 21 18 8 5 8 10 11 14 18 19 18 18 20 19 17 17 23 24 19 16 17 16 17 23 12 10 14 20 20 17 13 17 14 16 15 19 24 17 25 33 35 32 32 32 33 32 35 36 38 39 37 39 40 
2 2 4 4 8 9 13 11 15 16 16 15 21 25 22 18 22 21 18 13 9 10 9 8 10 9 8 5 5 7 13 13 15 10 11 14 16 15 12 13 19 24 19 19 19 18 19 22 22 25 27 23 27 26 28 29 30 24 23 26 30 32 31 29 31 32 35 35 37 37 38 37 35 36 34 37 37 38 38 40 
1 4 3 6 5 3 3 4 4 5 2 4 4 5 3 3 2 3 2 4 4 5 3 3 2 3 3 4 4 3 3 1 1 3 1 2 1 1 3 1 2 2 2 3 4 5 11 11 14 14 13 13 14 10 5 3 4 9 11 12 14 12 12 11 15 11 13 17 19 19 21 16 17 19 26 28 31 39 39 40 
2 2 2 3 2 3 4 8 6 9 12 16 14 10 10 8 10 14 12 12 12 14 12 17 20 24 25 23 21 17 19 22 19 15 10 6 4 5 11 12 12 16 14 12 17 21 21 19 17 19 24 24 28 31 28 25 28 23 18 16 16 13 19 18 23 24 30 33 33 35 34 35 31 36 35 35 34 34 37 40 
1 1 3 5 4 4 4 6 4 4 4 2 5 5 9 9 10 5 5 2 2 2 3 4 4 9 12 12 13 12 11 7 10 6 5 3 3 4 4 4 6 10 10 13 12 14 14 13 14 14 8 8 8 10 8 9 5 8 10 11 17 18 23 22 24 25 26 29 29 29 31 31 34 35 36 33 35 35 39 40 
3 3 2 1 2 7 8 11 16 15 21 17 22 18 21 23 20 18 17 16 14 14 14 11 10 8 11 12 8 7 11 12 11 13 22 24 28 28 33 35 33 31 32 30 30 31 31 32 29 31 33 35 35 37 39 37 37 37 34 31 36 35 33 33 38 38 32 33 37 38 33 34 35 37 34 36 37 38 39 40 
2 3 2 3 6 11 12 14 9 3 2 4 5 7 8 7 7 9 12 12 13 15 17 21 26 30 29 30 29 28 28 29 23 23 24 26 30 24 19 19 16 18 20 13 9 10 9 10 6 6 6 5 6 9 10 11 15 13 15 14 14 20 27 28 32 31 31 33 34 38 38 38 39 38 38 37 38 38 39 40 
2 2 4 2 1 1 2 2 4 3 2 2 2 3 3 6 8 11 10 11 20 19 20 21 22 25 24 22 22 19 16 18 13 17 18 20 19 14 11 14 15 10 7 4 6 10 9 8 9 7 10 15 12 15 17 14 17 14 17 16 16 15 18 22 28 32 28 29 34 36 39 37 36 38 39 39 39 38 39 40 
3 5 5 8 5 7 8 9 13 10 10 7 12 10 10 11 13 7 5 6 11 5 8 13 13 13 15 14 11 10 10 14 10 10 8 11 13 7 7 10 9 7 5 6 7 5 6 8 5 7 9 11 16 15 16 17 19 17 14 8 10 13 15 23 21 26 24 26 22 26 27 25 31 35 37 38 39 38 39 40 
4 3 2 3 4 4 4 5 5 6 6 4 6 6 4 3 4 4 5 5 3 5 5 7 4 5 5 5 3 4 2 2 1 3 4 5 9 6 6 6 5 5 9 10 8 8 6 3 6 7 7 10 16 19 23 25 21 21 22 19 16 20 25 27 29 29 29 28 31 31 36 37 38 37 37 38 35 37 38 40 
1 2 1 2 3 5 5 8 7 4 9 14 21 19 16 14 12 14 14 12 9 9 9 7 10 9 7 7 7 7 7 12 14 10 10 10 10 10 13 10 9 14 11 14 11 10 3 1 3 3 2 5 7 7 6 8 13 13 10 5 5 4 9 15 18 16 15 16 21 23 26 31 32 36 38 38 39 38 39 40 
1 1 3 4 3 6 6 5 7 8 11 11 14 12 17 13 11 10 12 13 12 14 13 7 3 2 4 6 7 11 7 8 8 7 5 6 5 8 9 8 8 4 3 4 7 6 7 6 7 8 6 5 10 13 13 17 21 21 15 16 13 18 22 24 21 24 24 26 29 27 26 31 33 37 37 36 39 39 39 40 
